epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0591,1.13309,1.40259,1.2149,0.69197,0.53768,0.61788,0.45933,1.0855,1.11197,1.12359,0.0007,0.0007,0.0937
2,54.7641,1.2028,1.29399,1.23812,0.71163,0.58055,0.65765,0.49348,1.06551,1.05803,1.11287,0.00148515,0.00148515,0.0864851
3,88.354,1.18428,1.32241,1.23135,0.70785,0.60762,0.69237,0.51744,1.05573,1.02731,1.10228,0.00225446,0.00225446,0.0792545
4,124.81,1.1552,1.22266,1.22413,0.70407,0.6163,0.70518,0.53105,1.0314,0.9772,1.08594,0.00300793,0.00300793,0.0720079
5,162.736,1.07088,1.15232,1.18904,0.70846,0.61615,0.68502,0.52037,1.04515,0.96039,1.08734,0.00374556,0.00374556,0.0647456
6,202.374,1.07021,1.11565,1.16595,0.72802,0.61577,0.71266,0.53656,1.04675,0.97915,1.08933,0.00446735,0.00446735,0.0574674
7,244.71,1.13696,1.11852,1.16572,0.77045,0.56265,0.64773,0.4876,1.06797,1.02107,1.09582,0.0051733,0.0051733,0.0501733
8,294.774,1.09964,1.12219,1.14895,0.77268,0.6321,0.7327,0.54844,1.0432,0.94232,1.09008,0.00586341,0.00586341,0.0428634
9,340.833,1.06665,1.05877,1.15344,0.78772,0.61598,0.71937,0.53742,1.06132,0.93192,1.09564,0.00653768,0.00653768,0.0355377
10,389.608,1.06678,1.04552,1.14157,0.78115,0.61818,0.70735,0.52916,1.05368,0.96275,1.10363,0.00719611,0.00719611,0.0281961
11,443.038,1.11251,1.08405,1.15526,0.74645,0.55206,0.60857,0.44506,1.05712,0.97991,1.08909,0.0078387,0.0078387,0.0208387
12,494.359,1.06226,1.09656,1.15182,0.71345,0.56509,0.65542,0.48806,1.0796,1.01903,1.09934,0.00846545,0.00846545,0.0134655
13,540.331,1.10103,1.08422,1.14304,0.61219,0.39632,0.44069,0.31679,1.13184,1.16544,1.13004,0.008812,0.008812,0.008812
14,592.639,1.12318,1.12017,1.16376,0.68217,0.47367,0.50925,0.37891,1.13054,1.15822,1.14429,0.008713,0.008713,0.008713
15,642.172,1.14602,1.10772,1.18137,0.75659,0.44411,0.5504,0.40724,1.16869,1.34307,1.18275,0.008614,0.008614,0.008614
16,694.552,1.10116,1.17574,1.16952,0.82819,0.52757,0.64301,0.47639,1.07023,0.98449,1.10552,0.008515,0.008515,0.008515
17,739.872,1.12098,1.0722,1.17017,0.70281,0.61404,0.68165,0.49143,1.14603,1.0551,1.15172,0.008416,0.008416,0.008416
18,788.811,1.07858,1.04288,1.1282,0.64867,0.62859,0.6642,0.4854,1.12654,1.08941,1.13825,0.008317,0.008317,0.008317
19,839.661,1.07824,0.9989,1.12472,0.76606,0.59533,0.69645,0.50118,1.17185,1.09121,1.15244,0.008218,0.008218,0.008218
20,887.816,1.08547,0.99719,1.13331,0.78021,0.55553,0.70279,0.50318,1.12064,1.07567,1.11807,0.008119,0.008119,0.008119
21,931.925,1.07683,1.00821,1.12518,0.79817,0.66459,0.75741,0.5646,1.04956,0.95174,1.07786,0.00802,0.00802,0.00802
